dim,s,time,sampled,sieved,compared,num_short
36,100,7.671,959,48893,92316608,63
36,1000,11.681,998,74376,141231930,58
37,10,5.336,1184,28273,63317424,71
37,100,10.766,1174,58024,128220530,69
37,1000,16.112,1121,87762,191954114,72
38,10,7.587,1299,32814,83896004,76
38,100,15.986,1340,69363,177823185,74
38,1000,23.989,1337,104838,266662171,72
39,10,10.558,1516,39915,119662080,72
39,100,21.091,1477,81411,240371746,77
39,1000,31.957,1498,123240,363976271,10
40,10,14.781,1740,47090,164487766,78
40,100,30.13,1772,97312,336279424,1
40,1000,45.221,1705,147181,505367347,80
41,10,19.874,1999,54410,217374285,62
41,100,41.313,2094,113862,452381357,79
41,1000,63.131,1977,174401,692764570,80
42,10,29.109,2293,66269,311483608,75
42,100,58.34,2336,135161,625141029,80
42,1000,89.646,2363,204438,935588278,14
43,10,40.357,2785,76939,415656580,86
43,100,81.653,2670,158855,850331572,79
43,1000,125.368,2712,243837,1298970679,85
44,10,57.992,3113,90720,569598020,82
44,100,115.2,3069,188277,1163297648,87
44,1000,176.872,3116,287028,1775271453,86
45,10,82.824,3576,107662,788660865,84
45,100,169.642,3620,224216,1621793767,11
45,1000,258.963,3635,338796,2430436856,22
46,10,110.473,4121,125778,1056461542,1
46,100,301.478,4216,265747,2225087164,87
46,1000,358.697,4156,402216,3348174829,83
47,10,162.083,4898,148640,1463168671,4
47,100,331.86,4778,312711,3029590734,62
47,1000,494.862,4830,476654,4600869099,22
48,10,220.529,5496,175222,1985542950,27
48,100,459.368,5629,368206,4131808629,90
48,1000,695.688,5647,564847,6339319371,79
49,10,322.433,6536,207801,2748349754,62
49,100,670.787,6419,435767,5689449809,92
49,1000,1002.467,6483,663407,8611682768,92
50,10,515.429,7474,244251,3745511155,90
50,100,1039.061,7483,513478,7766799816,5
50,1000,1537.834,7333,781246,11754634181,95
20,10,0.025,109,1613,308424,14
20,100,0.036,117,3168,596198,39
20,1000,0.055,114,4805,916296,40
21,10,0.027,128,1917,421864,36
21,100,0.049,126,3684,808127,2
21,1000,0.072,128,5559,1192480,42
22,10,0.04,163,2374,617650,41
22,100,0.071,145,4437,1119400,44
22,1000,0.099,135,6501,1591720,37
23,10,0.053,173,2763,815565,43
23,100,0.092,152,5078,1464931,5
23,1000,0.133,152,7628,2144427,21
24,10,0.073,189,3145,1089914,2
24,100,0.14,188,6342,2149652,8
24,1000,0.196,205,9183,3007914,10
25,10,0.101,210,3778,1520288,11
25,100,0.187,205,7549,2858372,48
25,1000,0.276,221,11125,4257391,39
26,10,0.132,226,4345,1916928,52
26,100,0.27,251,8829,3977641,4
26,1000,0.398,249,13431,5929990,51
27,10,0.185,265,5249,2688807,53
27,100,0.373,294,10492,5482417,3
27,1000,0.559,266,16144,8289168,52
